,Prediction,Actual,isAccurate
168,high,high,True
169,low,low,True
170,mid,mid,True
171,high,high,True
172,high,high,True
173,high,high,True
174,low,low,True
175,high,high,True
176,high,high,True
177,high,high,True
178,mid,mid,True
179,high,high,True
180,low,low,True
181,mid,mid,True
182,high,high,True
183,high,high,True
184,high,high,True
185,mid,high,False
186,low,mid,False
187,high,high,True
188,high,high,True
189,high,high,True
190,low,low,True
191,high,high,True
192,mid,mid,True
193,mid,mid,True
194,mid,mid,True
195,high,high,True
196,low,low,True
197,mid,high,False
198,high,high,True
199,low,low,True
200,low,low,True
201,low,low,True
202,high,high,True
203,high,high,True
204,low,mid,False
205,low,mid,False
206,mid,mid,True
207,mid,high,False
208,low,mid,False
209,high,high,True
210,high,low,False
211,high,mid,False
212,low,mid,False
213,high,high,True
214,mid,low,False
215,low,low,True
216,mid,mid,True
217,high,high,True
218,low,mid,False
219,high,high,True
220,high,high,True
221,high,high,True
222,mid,mid,True
223,high,mid,False
224,high,mid,False
225,low,mid,False
226,high,high,True
227,high,high,True
228,low,mid,False
229,high,mid,False
230,low,low,True
231,high,mid,False
232,high,high,True
233,high,high,True
234,high,high,True
235,mid,high,False
236,mid,low,False
237,low,mid,False
238,high,high,True
239,high,mid,False
240,high,high,True
241,low,mid,False
242,high,high,True
243,low,low,True
244,low,mid,False
245,low,low,True
246,high,high,True
247,high,high,True
248,mid,mid,True
249,low,low,True
250,high,high,True
251,high,high,True
252,high,high,True
253,high,high,True
254,low,low,True
255,low,low,True
256,high,high,True
257,high,high,True
258,low,low,True
259,low,mid,False
260,low,mid,False
261,high,high,True
262,high,high,True
263,high,low,False
264,high,high,True
265,high,high,True
266,low,low,True
267,high,high,True
268,high,high,True
269,high,high,True
270,high,mid,False
271,high,high,True
272,low,low,True
273,high,high,True
274,high,high,True
275,mid,mid,True
276,high,high,True
277,high,mid,False
278,low,low,True
279,high,mid,False
280,mid,mid,True
281,mid,high,False
282,mid,high,False
283,low,low,True
284,mid,low,False
285,high,high,True
286,high,high,True
287,high,high,True
288,high,mid,False
289,high,high,True
290,high,high,True
291,high,high,True
292,high,mid,False
293,low,low,True
294,low,low,True
295,high,high,True
296,low,low,True
297,high,high,True
298,mid,mid,True
299,high,mid,False
300,high,mid,False
301,high,high,True
302,mid,mid,True
303,high,mid,False
304,low,low,True
305,low,low,True
306,low,low,True
307,mid,low,False
308,high,high,True
309,low,low,True
310,high,mid,False
311,high,mid,False
312,high,high,True
313,high,high,True
314,high,high,True
315,high,high,True
316,high,high,True
317,low,mid,False
318,low,mid,False
319,high,high,True
320,high,high,True
321,high,high,True
322,high,high,True
323,high,high,True
324,high,high,True
325,low,low,True
326,high,high,True
327,mid,low,False
328,low,low,True
329,high,mid,False
330,low,mid,False
331,high,high,True
332,mid,mid,True
333,high,mid,False
334,high,high,True
335,high,high,True
336,mid,high,False
337,high,high,True
338,mid,low,False
339,mid,low,False
340,high,high,True
341,mid,high,False
342,mid,high,False
343,mid,mid,True
344,high,high,True
345,low,high,False
346,high,high,True
347,mid,high,False
348,low,mid,False
349,low,mid,False
350,high,high,True
351,high,mid,False
352,mid,low,False
353,mid,high,False
354,low,mid,False
355,high,mid,False
356,high,high,True
357,low,low,True
358,high,low,False
359,high,high,True
360,high,low,False
361,mid,mid,True
362,mid,mid,True
363,high,high,True
364,low,low,True
365,high,high,True
366,high,high,True
367,high,high,True
368,high,high,True
369,high,high,True
370,high,mid,False
371,high,mid,False
372,low,low,True
373,low,mid,False
374,high,high,True
375,mid,low,False
376,low,low,True
377,high,high,True
378,mid,high,False
379,high,mid,False
380,high,high,True
381,high,high,True
382,high,high,True
383,high,high,True
384,mid,mid,True
385,low,low,True
386,mid,mid,True
387,low,low,True
388,low,low,True
389,high,high,True
390,high,high,True
391,high,high,True
392,high,high,True
393,high,mid,False
394,high,high,True
395,high,high,True
396,high,high,True
397,high,high,True
398,high,high,True
399,mid,low,False
400,low,mid,False
401,high,high,True
402,low,high,False
403,high,mid,False
404,low,low,True
405,high,high,True
406,low,low,True
407,low,mid,False
408,high,high,True
409,high,high,True
410,high,mid,False
411,high,high,True
412,mid,mid,True
413,mid,low,False
414,low,low,True
415,high,high,True
416,low,low,True
417,mid,mid,True
418,low,high,False
419,high,high,True
420,low,low,True
421,mid,low,False
422,mid,low,False
423,low,low,True
424,high,high,True
425,low,mid,False
426,low,low,True
427,high,high,True
428,high,high,True
429,high,high,True
430,high,high,True
431,high,high,True
432,low,mid,False
433,high,high,True
434,high,high,True
435,high,high,True
436,high,high,True
437,high,high,True
438,low,mid,False
439,high,high,True
440,low,low,True
441,high,high,True
442,high,high,True
443,mid,high,False
444,high,high,True
445,low,mid,False
446,low,low,True
447,high,high,True
448,low,low,True
449,high,high,True
450,high,high,True
451,low,high,False
452,mid,mid,True
453,high,high,True
454,low,low,True
455,high,high,True
456,low,low,True
457,high,high,True
458,high,high,True
459,low,high,False
460,low,low,True
461,low,low,True
462,mid,mid,True
463,high,high,True
464,high,high,True
465,low,low,True
466,mid,high,False
467,high,high,True
468,high,high,True
469,high,mid,False
470,mid,mid,True
471,mid,mid,True
472,low,high,False
473,high,high,True
474,low,low,True
475,mid,mid,True
476,high,high,True
477,high,high,True
478,high,high,True
479,mid,mid,True
480,mid,mid,True
481,low,mid,False
482,high,mid,False
483,mid,low,False
484,high,high,True
485,high,high,True
486,mid,high,False
487,low,low,True
488,high,high,True
489,high,high,True
490,low,mid,False
491,mid,mid,True
492,high,mid,False
493,mid,low,False
494,high,high,True
495,high,mid,False
496,high,high,True
497,high,high,True
498,high,mid,False
499,mid,mid,True
500,mid,mid,True
501,high,high,True
502,high,mid,False
503,low,low,True
504,low,mid,False
505,mid,mid,True
506,mid,high,False
507,mid,mid,True
508,mid,high,False
509,high,high,True
510,high,high,True
511,high,high,True
512,low,high,False
513,high,mid,False
514,high,mid,False
515,high,high,True
516,low,low,True
517,high,high,True
518,high,low,False
519,high,high,True
520,mid,low,False
521,high,mid,False
522,low,mid,False
523,high,high,True
524,low,low,True
525,high,high,True
526,high,high,True
527,high,high,True
528,mid,mid,True
529,high,high,True
530,high,high,True
531,high,high,True
532,high,high,True
533,high,high,True
534,high,low,False
535,mid,high,False
536,high,high,True
537,low,low,True
538,high,low,False
539,mid,high,False
540,high,high,True
541,high,high,True
542,high,high,True
543,high,high,True
544,low,low,True
545,low,low,True
546,high,high,True
547,high,mid,False
548,low,low,True
549,high,high,True
550,high,mid,False
551,high,high,True
552,high,mid,False
553,mid,low,False
554,mid,high,False
555,high,high,True
556,high,high,True
557,high,high,True
558,high,high,True
559,mid,mid,True
560,high,high,True
561,high,high,True
562,low,low,True
563,high,high,True
564,high,mid,False
565,low,mid,False
566,high,high,True
567,low,low,True
568,mid,mid,True
569,high,mid,False
570,mid,low,False
571,high,mid,False
572,high,mid,False
573,low,low,True
574,mid,low,False
575,high,high,True
576,high,mid,False
577,high,high,True
578,high,high,True
579,high,high,True
580,high,high,True
581,high,high,True
582,low,mid,False
583,low,low,True
584,mid,mid,True
585,low,low,True
586,high,mid,False
587,high,high,True
588,mid,low,False
589,low,low,True
590,high,high,True
591,mid,low,False
592,high,high,True
593,high,mid,False
594,high,high,True
595,high,high,True
596,low,low,True
597,high,high,True
598,high,mid,False
599,mid,mid,True
600,high,high,True
601,mid,mid,True
602,high,mid,False
603,low,mid,False
604,low,low,True
605,low,mid,False
606,high,high,True
607,low,low,True
608,high,high,True
609,mid,mid,True
610,low,mid,False
611,low,mid,False
612,high,high,True
613,high,mid,False
614,high,high,True
615,low,low,True
616,high,high,True
617,low,low,True
618,high,mid,False
619,high,low,False
620,low,mid,False
621,high,high,True
622,mid,mid,True
623,mid,high,False
624,low,mid,False
625,low,low,True
626,high,high,True
627,high,mid,False
628,low,low,True
629,high,high,True
630,high,high,True
631,low,mid,False
632,high,mid,False
633,low,mid,False
634,high,high,True
635,high,mid,False
636,mid,mid,True
637,high,high,True
638,mid,high,False
639,high,high,True
640,high,low,False
641,high,mid,False
642,high,high,True
643,high,high,True
644,low,low,True
645,mid,mid,True
646,mid,high,False
647,high,high,True
648,high,high,True
649,high,high,True
650,high,high,True
651,high,high,True
652,high,mid,False
653,high,high,True
654,high,low,False
655,low,low,True
656,high,mid,False
657,low,low,True
658,high,high,True
659,mid,low,False
660,high,high,True
661,high,mid,False
662,mid,high,False
663,high,mid,False
664,low,high,False
665,high,high,True
666,low,high,False
667,high,high,True
668,high,high,True
669,mid,mid,True
670,high,high,True
671,high,high,True
672,high,high,True
673,low,low,True
674,low,low,True
675,high,high,True
676,mid,mid,True
677,high,high,True
678,high,low,False
679,high,high,True
680,high,high,True
681,low,high,False
682,mid,low,False
683,high,high,True
684,high,high,True
685,low,mid,False
686,high,high,True
687,low,low,True
688,high,high,True
689,high,mid,False
690,mid,mid,True
691,mid,mid,True
692,high,mid,False
693,low,mid,False
694,low,low,True
695,mid,high,False
696,mid,low,False
697,high,high,True
698,high,high,True
699,mid,high,False
700,high,mid,False
701,low,low,True
702,low,low,True
703,low,mid,False
704,low,mid,False
705,high,mid,False
706,mid,mid,True
707,low,low,True
708,low,low,True
709,low,mid,False
710,mid,mid,True
711,low,mid,False
712,high,high,True
713,high,mid,False
714,high,high,True
715,high,high,True
716,mid,high,False
717,high,high,True
718,high,mid,False
719,high,high,True
720,high,high,True
721,low,low,True
722,high,mid,False
723,high,high,True
724,mid,low,False
725,high,high,True
726,high,high,True
727,high,high,True
728,mid,mid,True
729,high,high,True
730,high,mid,False
731,low,low,True
732,low,mid,False
733,high,high,True
734,high,mid,False
735,low,low,True
736,mid,high,False
737,mid,mid,True
738,high,mid,False
739,low,low,True
740,mid,low,False
741,high,mid,False
742,high,high,True
743,high,high,True
744,high,mid,False
745,low,low,True
746,mid,mid,True
747,high,high,True
748,mid,mid,True
749,high,high,True
750,low,low,True
751,mid,low,False
752,high,high,True
753,low,low,True
754,mid,mid,True
755,mid,low,False
756,low,mid,False
757,mid,high,False
758,low,low,True
759,low,mid,False
760,high,high,True
761,high,high,True
762,high,high,True
763,high,high,True
764,high,high,True
765,mid,low,False
766,low,low,True
767,mid,mid,True
768,high,high,True
769,high,mid,False
770,high,high,True
771,high,mid,False
772,high,high,True
773,high,high,True
774,high,mid,False
775,low,low,True
776,high,high,True
777,mid,low,False
778,high,high,True
779,high,high,True
780,low,low,True
781,low,low,True
782,high,high,True
783,high,high,True
784,high,mid,False
785,high,mid,False
786,low,low,True
787,mid,mid,True
788,high,high,True
789,high,high,True
790,low,low,True
791,low,mid,False
792,high,high,True
793,high,mid,False
794,high,high,True
795,mid,mid,True
796,mid,mid,True
797,low,low,True
798,mid,mid,True
799,low,low,True
800,mid,high,False
801,high,high,True
802,mid,mid,True
803,mid,low,False
804,low,high,False
805,low,low,True
806,high,high,True
807,low,low,True
808,low,low,True
809,high,high,True
810,mid,high,False
811,high,high,True
812,high,mid,False
813,high,mid,False
814,mid,mid,True
815,low,low,True
816,low,low,True
817,mid,high,False
818,low,mid,False
819,high,high,True
820,low,mid,False
821,mid,mid,True
822,high,high,True
823,high,high,True
824,low,low,True
825,mid,high,False
826,high,mid,False
827,high,high,True
828,low,low,True
829,high,mid,False
830,mid,mid,True
831,mid,mid,True
832,mid,low,False
833,low,low,True
834,high,high,True
835,mid,high,False
836,mid,mid,True
837,mid,mid,True
838,high,high,True
839,high,high,True
840,high,mid,False
841,low,low,True
842,low,mid,False
843,high,mid,False
844,high,high,True
845,low,high,False
846,high,high,True
847,high,high,True
848,high,high,True
849,high,high,True
850,high,high,True
851,high,high,True
852,high,high,True
853,high,high,True
854,mid,low,False
855,high,high,True
856,mid,low,False
857,low,low,True
858,high,high,True
859,high,high,True
860,mid,mid,True
861,high,high,True
862,high,high,True
863,high,low,False
864,high,high,True
865,low,mid,False
866,low,high,False
867,high,high,True
868,high,high,True
869,high,mid,False
870,low,low,True
871,mid,low,False
872,high,high,True
873,high,mid,False
874,low,mid,False
875,high,high,True
876,high,mid,False
877,mid,low,False
878,mid,mid,True
879,high,high,True
880,low,low,True
881,high,high,True
882,low,low,True
883,high,high,True
884,high,mid,False
885,high,high,True
886,high,high,True
887,high,high,True
888,low,low,True
889,high,high,True
890,high,high,True
891,low,low,True
892,low,low,True
893,high,mid,False
894,low,low,True
895,high,high,True
896,low,low,True
897,high,mid,False
898,high,high,True
899,high,high,True
900,low,low,True
901,mid,low,False
902,high,high,True
903,high,high,True
904,high,high,True
905,mid,mid,True
906,high,high,True
907,mid,mid,True
908,low,mid,False
909,mid,mid,True
910,mid,mid,True
911,high,high,True
912,low,low,True
913,high,mid,False
914,high,mid,False
915,low,mid,False
916,mid,mid,True
917,high,high,True
918,high,high,True
919,high,high,True
920,mid,mid,True
921,low,low,True
922,low,mid,False
923,mid,high,False
924,low,low,True
925,high,high,True
926,mid,mid,True
927,high,high,True
928,mid,low,False
929,low,low,True
930,mid,mid,True
931,high,mid,False
932,high,mid,False
933,low,high,False
934,high,mid,False
935,high,high,True
936,high,high,True
937,low,mid,False
938,low,low,True
939,mid,low,False
940,low,low,True
941,low,low,True
942,low,low,True
943,high,high,True
944,low,low,True
945,high,mid,False
946,low,low,True
947,mid,mid,True
948,high,high,True
949,high,high,True
950,high,high,True
951,low,low,True
952,low,high,False
953,high,high,True
954,mid,low,False
955,high,high,True
956,low,low,True
957,high,high,True
958,low,low,True
959,low,mid,False
960,mid,mid,True
961,high,mid,False
962,high,high,True
963,high,mid,False
964,mid,mid,True
965,high,high,True
966,high,mid,False
967,low,low,True
968,high,high,True
969,mid,mid,True
970,high,high,True
971,high,high,True
972,high,high,True
973,high,high,True
974,high,high,True
975,high,high,True
976,low,low,True
977,high,high,True
978,high,high,True
979,high,mid,False
980,high,high,True
981,high,high,True
982,high,high,True
983,low,low,True
984,high,high,True
985,mid,mid,True
986,mid,low,False
987,high,high,True
988,low,low,True
989,low,low,True
990,low,low,True
991,high,high,True
992,mid,high,False
993,high,mid,False
994,low,low,True
995,low,mid,False
996,high,mid,False
997,low,mid,False
998,low,low,True
999,high,high,True
1000,high,mid,False
1001,low,low,True
1002,low,high,False
1003,low,low,True
1004,low,low,True
1005,low,mid,False
1006,high,high,True
1007,high,high,True
1008,high,high,True
1009,high,mid,False
1010,high,high,True
1011,mid,mid,True
1012,high,high,True
1013,low,low,True
1014,high,high,True
1015,mid,mid,True
1016,high,mid,False
1017,high,high,True
1018,mid,high,False
1019,high,high,True
1020,low,low,True
1021,high,high,True
1022,high,high,True
1023,low,mid,False
1024,high,high,True
1025,high,high,True
1026,high,high,True
1027,high,high,True
1028,high,mid,False
1029,high,high,True
1030,high,high,True
1031,low,low,True
1032,high,high,True
1033,high,high,True
1034,high,mid,False
1035,low,mid,False
1036,mid,mid,True
1037,high,mid,False
1038,high,high,True
1039,low,low,True
1040,high,high,True
1041,high,high,True
1042,mid,high,False
1043,high,high,True
1044,mid,mid,True
1045,high,high,True
1046,low,low,True
1047,low,low,True
1048,mid,mid,True
1049,low,low,True
1050,high,high,True
1051,low,low,True
1052,high,high,True
1053,low,low,True
1054,high,mid,False
1055,high,high,True
1056,mid,mid,True
1057,low,low,True
1058,high,high,True
1059,high,high,True
1060,high,high,True
1061,high,high,True
1062,low,low,True
1063,high,high,True
1064,low,low,True
1065,mid,high,False
1066,high,high,True
1067,high,high,True
1068,mid,high,False
1069,mid,mid,True
1070,high,high,True
1071,low,mid,False
1072,high,high,True
1073,low,low,True
1074,low,mid,False
1075,high,mid,False
1076,low,mid,False
1077,high,high,True
1078,mid,high,False
1079,high,high,True
1080,high,high,True
1081,high,high,True
1082,high,high,True
1083,mid,low,False
1084,high,high,True
1085,mid,mid,True
1086,mid,low,False
1087,low,low,True
1088,low,low,True
1089,high,mid,False
1090,high,mid,False
1091,high,high,True
1092,mid,mid,True
1093,mid,low,False
1094,mid,mid,True
1095,mid,mid,True
1096,high,high,True
1097,mid,mid,True
1098,mid,high,False
1099,high,high,True
1100,high,high,True
1101,low,mid,False
1102,high,high,True
1103,high,mid,False
1104,high,high,True
1105,mid,mid,True
1106,mid,high,False
1107,high,high,True
1108,high,high,True
1109,mid,mid,True
1110,high,high,True
1111,low,low,True
1112,low,low,True
1113,high,high,True
1114,high,high,True
1115,low,mid,False
1116,high,high,True
1117,low,low,True
1118,mid,low,False
1119,mid,mid,True
1120,high,mid,False
1121,mid,mid,True
1122,high,mid,False
1123,high,high,True
1124,high,high,True
1125,high,high,True
1126,high,mid,False
1127,mid,mid,True
1128,high,high,True
1129,high,mid,False
1130,mid,high,False
1131,low,low,True
1132,high,mid,False
1133,high,high,True
1134,high,high,True
1135,high,high,True
1136,high,high,True
1137,mid,mid,True
1138,high,high,True
1139,high,low,False
1140,low,mid,False
1141,low,mid,False
1142,mid,mid,True
1143,mid,low,False
1144,high,high,True
1145,mid,high,False
1146,high,high,True
1147,mid,mid,True
1148,high,mid,False
1149,mid,low,False
1150,high,mid,False
1151,high,high,True
1152,low,low,True
1153,high,high,True
1154,low,low,True
1155,low,high,False
1156,high,high,True
1157,high,high,True
1158,high,mid,False
1159,mid,mid,True
1160,high,high,True
1161,high,high,True
1162,high,high,True
1163,mid,mid,True
1164,high,mid,False
1165,high,high,True
1166,low,low,True
1167,high,mid,False
1168,mid,high,False
1169,high,high,True
1170,high,high,True
1171,mid,mid,True
1172,low,low,True
1173,high,high,True
1174,high,high,True
1175,high,high,True
1176,low,low,True
1177,mid,low,False
1178,high,high,True
1179,low,mid,False
1180,low,low,True
1181,high,high,True
1182,mid,mid,True
1183,high,high,True
1184,high,high,True
1185,high,high,True
1186,mid,mid,True
1187,low,low,True
1188,mid,mid,True
1189,high,high,True
1190,high,high,True
1191,high,high,True
1192,high,mid,False
1193,low,low,True
1194,high,high,True
1195,low,low,True
1196,mid,high,False
1197,low,low,True
1198,high,high,True
1199,high,high,True
1200,low,mid,False
1201,low,mid,False
1202,mid,mid,True
1203,high,high,True
1204,mid,mid,True
1205,low,low,True
1206,high,high,True
1207,high,high,True
1208,mid,mid,True
1209,mid,mid,True
1210,high,mid,False
1211,high,high,True
1212,high,high,True
1213,low,low,True
1214,high,high,True
1215,high,high,True
1216,mid,mid,True
1217,low,mid,False
1218,mid,high,False
1219,high,high,True
1220,low,mid,False
1221,high,mid,False
1222,high,mid,False
1223,high,high,True
1224,high,high,True
1225,high,high,True
1226,high,high,True
1227,high,high,True
1228,high,high,True
1229,low,low,True
1230,mid,mid,True
1231,low,low,True
1232,low,low,True
1233,mid,high,False
1234,low,low,True
1235,high,mid,False
1236,high,high,True
1237,high,high,True
1238,high,high,True
1239,high,high,True
1240,high,high,True
1241,low,mid,False
1242,high,high,True
1243,mid,mid,True
1244,high,high,True
1245,high,high,True
1246,mid,high,False
1247,low,low,True
1248,high,high,True
1249,low,mid,False
1250,mid,mid,True
1251,high,high,True
1252,mid,high,False
1253,low,mid,False
1254,low,mid,False
1255,low,low,True
1256,mid,high,False
1257,mid,high,False
1258,mid,mid,True
1259,high,high,True
1260,mid,mid,True
1261,high,high,True
1262,high,high,True
1263,high,high,True
1264,low,low,True
1265,high,high,True
1266,low,mid,False
1267,high,high,True
1268,high,high,True
1269,high,high,True
1270,high,high,True
1271,low,mid,False
1272,high,high,True
1273,high,high,True
1274,mid,low,False
1275,mid,mid,True
1276,high,high,True
1277,high,high,True
1278,mid,low,False
1279,high,high,True
1280,high,high,True
1281,high,high,True
1282,mid,low,False
1283,low,low,True
1284,low,low,True
1285,low,low,True
1286,high,high,True
1287,high,high,True
1288,high,high,True
1289,mid,mid,True
1290,high,high,True
1291,low,low,True
1292,low,low,True
1293,high,high,True
1294,high,high,True
1295,high,high,True
1296,low,low,True
1297,high,high,True
1298,mid,low,False
1299,low,low,True
1300,low,mid,False
1301,high,high,True
1302,high,high,True
1303,low,mid,False
1304,mid,low,False
1305,high,high,True
1306,high,high,True
1307,high,mid,False
1308,high,high,True
1309,low,mid,False
1310,high,high,True
1311,low,low,True
1312,mid,low,False
1313,high,mid,False
1314,mid,mid,True
1315,high,high,True
1316,high,high,True
1317,mid,high,False
1318,high,high,True
1319,high,high,True
1320,low,mid,False
1321,low,mid,False
1322,high,high,True
1323,high,high,True
1324,high,high,True
1325,high,high,True
1326,high,high,True
1327,low,low,True
1328,high,mid,False
1329,low,mid,False
1330,mid,mid,True
1331,high,high,True
1332,high,mid,False
1333,high,high,True
1334,low,low,True
1335,mid,mid,True
1336,mid,mid,True
1337,low,low,True
1338,high,mid,False
1339,mid,high,False
1340,mid,low,False
1341,high,mid,False
1342,low,high,False
1343,low,low,True
1344,low,high,False
1345,high,high,True
1346,low,mid,False
1347,high,high,True
1348,high,mid,False
1349,mid,high,False
1350,high,mid,False
1351,low,mid,False
1352,mid,low,False
1353,high,mid,False
1354,mid,mid,True
1355,low,low,True
1356,high,high,True
1357,low,low,True
1358,high,high,True
1359,low,low,True
1360,high,high,True
1361,high,high,True
1362,high,high,True
1363,low,mid,False
1364,high,mid,False
1365,high,high,True
1366,low,low,True
1367,high,high,True
1368,high,high,True
1369,high,high,True
1370,low,mid,False
1371,low,low,True
1372,high,high,True
1373,low,low,True
1374,high,high,True
1375,high,high,True
1376,low,low,True
1377,high,high,True
1378,high,mid,False
1379,high,mid,False
1380,high,high,True
1381,high,mid,False
1382,high,high,True
1383,low,mid,False
1384,high,high,True
1385,high,mid,False
1386,high,high,True
1387,mid,mid,True
1388,high,high,True
1389,mid,mid,True
1390,low,low,True
1391,low,low,True
1392,low,low,True
1393,high,high,True
1394,low,mid,False
1395,high,high,True
1396,high,high,True
1397,low,low,True
1398,high,low,False
1399,high,high,True
1400,high,high,True
1401,low,mid,False
1402,low,low,True
1403,mid,low,False
1404,low,mid,False
1405,high,high,True
1406,low,high,False
1407,high,high,True
1408,high,high,True
1409,low,low,True
1410,mid,low,False
1411,mid,mid,True
1412,high,high,True
1413,mid,high,False
1414,low,mid,False
1415,high,high,True
1416,high,high,True
1417,low,low,True
1418,low,mid,False
1419,low,low,True
1420,mid,mid,True
1421,high,high,True
1422,high,high,True
1423,high,mid,False
1424,mid,mid,True
1425,low,low,True
1426,high,high,True
1427,high,high,True
1428,high,high,True
1429,high,high,True
1430,mid,mid,True
1431,low,high,False
1432,high,high,True
1433,mid,high,False
1434,high,high,True
1435,low,low,True
1436,low,low,True
1437,high,high,True
1438,high,high,True
1439,high,high,True
1440,mid,low,False
1441,low,low,True
1442,mid,mid,True
1443,high,high,True
1444,low,low,True
1445,low,mid,False
1446,high,mid,False
1447,high,low,False
1448,high,mid,False
1449,low,mid,False
1450,high,high,True
1451,low,low,True
1452,high,high,True
1453,high,high,True
1454,mid,mid,True
1455,high,mid,False
1456,high,high,True
1457,high,high,True
1458,high,high,True
1459,low,low,True
1460,low,low,True
1461,low,mid,False
1462,low,mid,False
1463,high,mid,False
1464,high,high,True
1465,high,high,True
1466,high,high,True
1467,mid,low,False
1468,high,high,True
1469,mid,high,False
1470,high,high,True
1471,low,low,True
1472,high,high,True
1473,low,low,True
1474,high,high,True
1475,high,mid,False
1476,low,low,True
1477,high,high,True
1478,high,high,True
1479,high,high,True
1480,high,high,True
1481,high,high,True
1482,low,low,True
1483,low,high,False
1484,high,high,True
1485,mid,mid,True
1486,low,low,True
1487,low,mid,False
1488,mid,low,False
1489,high,high,True
1490,high,high,True
1491,mid,mid,True
1492,mid,low,False
1493,high,high,True
1494,high,high,True
1495,low,low,True
1496,low,low,True
1497,high,low,False
1498,high,high,True
1499,low,low,True
1500,high,mid,False
1501,high,high,True
1502,mid,high,False
1503,low,low,True
1504,high,high,True
1505,low,high,False
1506,low,low,True
1507,high,high,True
1508,low,mid,False
1509,high,high,True
1510,low,high,False
1511,low,low,True
1512,high,mid,False
1513,high,high,True
1514,low,low,True
1515,high,high,True
1516,mid,mid,True
1517,high,high,True
1518,high,high,True
1519,high,high,True
1520,mid,low,False
1521,high,high,True
1522,high,high,True
1523,high,high,True
1524,high,high,True
1525,high,high,True
1526,mid,mid,True
1527,high,high,True
1528,high,high,True
1529,mid,mid,True
1530,high,high,True
1531,high,high,True
1532,high,mid,False
1533,high,high,True
1534,low,mid,False
1535,high,high,True
1536,high,mid,False
1537,mid,low,False
1538,high,high,True
1539,high,high,True
1540,high,high,True
1541,mid,high,False
1542,mid,mid,True
1543,mid,mid,True
1544,low,low,True
1545,mid,low,False
1546,high,high,True
1547,low,low,True
1548,high,high,True
1549,low,mid,False
1550,high,high,True
1551,high,high,True
1552,mid,mid,True
1553,high,high,True
1554,mid,low,False
1555,low,mid,False
1556,low,low,True
1557,mid,high,False
1558,high,high,True
1559,high,high,True
1560,mid,high,False
1561,low,low,True
1562,high,high,True
1563,high,high,True
1564,high,high,True
1565,low,low,True
1566,high,high,True
1567,high,high,True
1568,high,low,False
1569,high,high,True
1570,high,high,True
1571,mid,low,False
1572,high,high,True
1573,low,low,True
1574,high,high,True
1575,low,low,True
1576,high,high,True
1577,high,high,True
1578,high,mid,False
1579,low,low,True
1580,low,mid,False
